"Message",Low,"Starting .NET Native compilation"
"Message",Low,""
"Message",Low,""
"Message",Low,"Task ""Gatekeeper"""
"Message",Normal,"Launching 'D:\Users\v-tuchen\.nuget\packages\microsoft.net.native.compiler\1.6.2\tools\ARM\ilc\Tools\Gatekeeper.exe @""D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\intermediate\gkargs.rsp""'"
"Message",Low,"Microsoft (R) .NET Native Gatekeeper Version 1.6.25221.00 "
"Message",Low,"Copyright (C) Microsoft Corporation.  All rights reserved. "
"Message",Low," "
"Message",Low,"Checking assembly 'D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\in\Microsoft.Azure.Mobile.Analytics.dll'. "
"Message",Low,"Checking assembly 'D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\in\Microsoft.Azure.Mobile.dll'. "
"Message",Low,"Checking assembly 'D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\in\Microsoft.Azure.Mobile.Push.dll'. "
"Message",Low,"Checking assembly 'D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\in\Microsoft.Rest.ClientRuntime.dll'. "
"Message",Low,"Checking assembly 'D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\in\MobileCenterUWPTest.exe'. "
"Message",Low,"Checking assembly 'D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\in\Newtonsoft.Json.dll'. "
"Message",Low,"Checking assembly 'D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\in\SQLite-net.dll'. "
"Message",Low,"Checking assembly 'D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\in\SQLitePCLRaw.batteries_green.dll'. "
"Message",Low,"Checking assembly 'D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\in\SQLitePCLRaw.batteries_v2.dll'. "
"Message",Low,"Checking assembly 'D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\in\SQLitePCLRaw.core.dll'. "
"Message",Low,"Checking assembly 'D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\in\SQLitePCLRaw.provider.e_sqlite3.dll'. "
"Message",Normal,"'D:\Users\v-tuchen\.nuget\packages\microsoft.net.native.compiler\1.6.2\tools\ARM\ilc\Tools\Gatekeeper.exe @""D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\intermediate\gkargs.rsp""' completed."
"Message",Normal,"Process execution statistics (all times in milliseconds)"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"launch  |  start   |   stop   |   end    | duration | lifetime | [slot] name"
"Message",Normal,"-----------------------------------------------------------------------------"
"Message",Normal,"       0 |        0 |      875 |      875 |      875 |      875 | [0] Gatekeeper"
"Message",Normal,"Number of commands:      1"
"Message",Normal,"Total system time:       875 ms"
"Message",Normal,"System time per command: 875 ms"
"Message",Normal,"Total duration:          875 ms"
"Message",Normal,"Total lifetime:          875 ms"
"Message",Normal,"Requested DOP:           8"
"Message",Normal,"Duration DOP:            1.0"
"Message",Normal,"Lifetime DOP:            1.0"
"Message",Low,"Done executing task ""Gatekeeper""."
"Message",Low,"Done building target ""RunGatekeeper"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""InjectWindowsRuntimeTypeForwards"""
"Message",Normal,"Running 'InjectWindowsRuntimeTypeForwards' transform, heap at 12 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 17 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"    ms | heap delta | name"
"Message",Normal,"   226 |          1 | WriteAssemblies"
"Message",Normal,"   217 |          5 | InjectWindowsRuntimeTypeForwards"
"Message",Low,"Done executing task ""InjectWindowsRuntimeTypeForwards""."
"Message",Low,"Done building target ""InjectWindowRuntimeTypeForwards"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""PreResolveAssemblyClosure"""
"Message",Low,"Done executing task ""PreResolveAssemblyClosure""."
"Message",Low,"Task ""PreResolveTransforms"""
"Message",Normal,"Running 'ResolveSelfReferences' transform, heap at 28 MB."
"Message",Normal,"Running 'RemoveDuplicateMembers' transform, heap at 35 MB."
"Message",Normal,"Running 'PortableLib' transform, heap at 36 MB."
"Message",Normal,"Running 'WriteAssemblies' transform, heap at 44 MB."
"Message",Normal,""
"Message",Normal,"Transform summary"
"Message",Normal,"    ms | heap delta | name"
"Message",Normal,"   294 |          7 | ResolveSelfReferences"
"Message",Normal,"   222 |          8 | PortableLib"
"Message",Normal,"   189 |          8 | WriteAssemblies"
"Message",Normal,"     0 |          1 | RemoveDuplicateMembers"
"Message",Low,"Done executing task ""PreResolveTransforms""."
"Message",Low,"Done building target ""PreResolveTransforms"" in file ""Preparation""."
"Message",Low,""
"Message",Low,"Task ""InitialAssemblyClosure"""
"Message",Low,"Done executing task ""InitialAssemblyClosure""."
"Message",Low,"Task ""ResolveInitialReferencesAssemblyClosure1"""
"Message",Low,"Done executing task ""ResolveInitialReferencesAssemblyClosure1""."
"Message",Low,"Task ""ResolveInitialReferencesAssemblyClosure2"""
"Message",Low,"Done executing task ""ResolveInitialReferencesAssemblyClosure2""."
"Message",Low,"Done building target ""ResolveInitialReferences"" in file ""Preparation""."
"Message",Low,"Done building project ""Preparation""."
"Message",Low,""
"Message",Low,""
"Message",High,"Processing application code"
"Message",Low,"Task ""ValidateSimpleNames"""
"Message",Low,"Done executing task ""ValidateSimpleNames""."
"Message",Low,"Task ""McgContractsResolveFilePath"""
"Message",Low,"Done executing task ""McgContractsResolveFilePath""."
"Message",Low,"Task ""McgFacadeResolveFilePath"""
"Message",Low,"Done executing task ""McgFacadeResolveFilePath""."
"Message",Low,"Task ""FinalAssemblyClosureRootsResolveFilePaths"""
"Message",Low,"Done executing task ""FinalAssemblyClosureRootsResolveFilePaths""."
"Message",Low,"Task ""FinalAssemblyClosure"""
"Message",Low,"Done executing task ""FinalAssemblyClosure""."
"Message",Low,"Task ""RunILTransforms"""
"Message",Normal,"Running 'Analysis' transform, heap at 17 MB."
"Message",Low,"Loading 92 modules..."
"Message",Normal,"Imported reflection directives from 16 files:"
"Message",Normal,"D:\Users\v-tuchen\UWPTest\UWPPush\MobileCenterUWPTest\obj\ARM\Release\ilc\in\Properties\Default.rd.xml"
"Message",Normal,"Embedded manifest in System.Diagnostics.Tracing: Resources.System.Diagnostics.Tracing.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Reflection: System.Private.Reflection.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.CoreLib: Resources.System.Private.CoreLib.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Uri: Resources.System.Private.Uri.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Reflection.Core: System.Private.Reflection.Core.rd.xml"
"Message",Normal,"Embedded manifest in System.Linq.Expressions: Resources.System.Linq.Expressions.rd.xml"
"Message",Normal,"Embedded manifest in System.Xml.XDocument: System.Xml.Resources.System.Xml.XDocument.rd.xml"
"Message",Normal,"Embedded manifest in System.Runtime.Serialization.Primitives: System.Runtime.Serialization.Primitives.Resources.System.Runtime.Serialization.Primitives.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.PortableThunks: Resources.System.Private.PortableThunks.rd.xml"
"Message",Normal,"Embedded manifest in System.Dynamic.Runtime: Resources.System.Dynamic.Runtime.rd.xml"
"Message",Normal,"Embedded manifest in Microsoft.CSharp: Microsoft.CSharp.Resources.Microsoft.CSharp.rd.xml"
"Message",Normal,"Embedded manifest in System.Xml.ReaderWriter: System.Xml.Resources.System.Xml.ReaderWriter.rd.xml"
"Message",Normal,"Embedded manifest in System.Private.Interop: Resources.System.Private.Interop.rd.xml"
